DIVISON,DISTRICT,THANA / AREA,DIAGNOSTIC CENTER NAME
Dhaka,Dhaka,Lalbagh,AKS HEALTHCARE
Dhaka,Dhaka,Lalbagh,AL Madina Diagnostic Center
Dhaka,Dhaka,Lalbagh,AZIMPUR DIAGNOSTIC & CONSULTATION CENTRE
Dhaka,Dhaka,Lalbagh,Confirm Diagnostic Ltd.
Dhaka,Dhaka,Lalbagh,DESH DIAGNOSTIC & MEDICAL CENTRE
Dhaka,Dhaka,Lalbagh,Dialab Medical Services
Dhaka,Dhaka,Lalbagh,Health Aid Diagonstic & Consultation Centre
Dhaka,Dhaka,Lalbagh,Health Aid Diagonstic and Consultation Center
Dhaka,Dhaka,Lalbagh,IBN SINA DIAGNOSTIC CENTER LALBAGH LTD
Dhaka,Dhaka,Lalbagh,Labsscan Diagnostic Center
Dhaka,Dhaka,Lalbagh,Lalbag Diagnostic Center
Dhaka,Dhaka,Lalbagh,lalbag pathology&medical centre
Dhaka,Dhaka,Lalbagh,MAHIKA MEDICAL SERVICES
Dhaka,Dhaka,Lalbagh,Matador Diagnostic & Wellness Center Ltd.
Dhaka,Dhaka,Lalbagh,Medi-Com Diagnostic Centre
Dhaka,Dhaka,Lalbagh,New Fairlab Diagnostic & Consultation Centre
Dhaka,Dhaka,Lalbagh,New Satata Diagnostic and Consultation Center
Dhaka,Dhaka,Lalbagh,THE MODERN DIAGNOSTIC AND CONSULTATION CENTER
Dhaka,Dhaka,Lalbagh,Zabs Medical Services
,,,
Dhaka,Dhaka,Mirpur,ZAFOR KHAN EYE HOSPITAL AND FACO CENTER
Dhaka,Dhaka,Mirpur,Riand Bangladesh Neuro - General Hospital
Dhaka,Dhaka,Mirpur,DR. MUAZZAM MEDICAL (DIAGNOSTIC) CENTER
Dhaka,Dhaka,Mirpur,THE MARKS ENT CLINIC & GENERAL HOSPITAL (PVT) LTD
Dhaka,Dhaka,Mirpur,TAKE CARE HOSPITAL & DIGITAL DIAGNOSTIC CENTER
Dhaka,Dhaka,Mirpur,TMSS Medical Center
Dhaka,Dhaka,Mirpur,TMSS Masuda Maternity Hospital
Dhaka,Dhaka,Mirpur,LIFE SUPPORT DIAGNOSTIC CENTER
Dhaka,Dhaka,Mirpur,Asa-Shafi Medical Center
Dhaka,Dhaka,Mirpur,BANGLADESH SPINE & ORTHOPAEDIC GENERAL HOSPITAL (PVT.) LTD.
Dhaka,Dhaka,Mirpur,Fatema Maa-o- Shishu General Hospital
Dhaka,Dhaka,Mirpur,Human Aid Research Lab.
Dhaka,Dhaka,Mirpur,THE MARKS ENT CLINIC & GENERAL HOSPITAL (PVT) LTD
Dhaka,Dhaka,Mirpur,Aalok Healthcare Ltd
Dhaka,Dhaka,Mirpur,Aalok Healthcare Ltd (Mirpur-1)
Dhaka,Dhaka,Mirpur,Al Azlan Medical Center
Dhaka,Dhaka,Mirpur,Altashkhis Markaz Limited
Dhaka,Dhaka,Mirpur,AmarLab Limited
Dhaka,Dhaka,Mirpur,AMIRA MEDICAL HEALTH SERVICES LTD
Dhaka,Dhaka,Mirpur,Araco Limited
Dhaka,Dhaka,Mirpur,Ash Shafi Hospital
Dhaka,Dhaka,Mirpur,B.A.V.S Maternity
Dhaka,Dhaka,Mirpur,BANGLADESH CANCER SOCIETY HOSPITAL & WELFARE HOME
Dhaka,Dhaka,Mirpur,Bangladesh Diabetic Network Ltd. (BDN)
Dhaka,Dhaka,Mirpur,Bangladesh Institute Of Health Sciences (BIHS) General Hospital
Dhaka,Dhaka,Mirpur,Bangladesh Molecular Laboratory
Dhaka,Dhaka,Mirpur,CONFIDENCE DIAGNOSTIC LTD
Dhaka,Dhaka,Mirpur,Delta Hospital Limited
Dhaka,Dhaka,Mirpur,DR AMANAT KHAN HOSPITAL AND DIAGNOSTIC CENTRE
Dhaka,Dhaka,Mirpur,Dr. A R Khan Hospital Dental Unit
Dhaka,Dhaka,Mirpur,Dr. A R Khan Hospital Pathology Unit
Dhaka,Dhaka,Mirpur,Dr. Azmal Hospital Ltd.
Dhaka,Dhaka,Mirpur,DR. M R KHAN SHISHU HOSPITAL & INSTITUTE OF CHILD HEALTH
Dhaka,Dhaka,Mirpur,FAISAL HEALTH EXPRESS SERVICE LIMITED
Dhaka,Dhaka,Mirpur,FUTURE MEDICAL
Dhaka,Dhaka,Mirpur,Generic Healthcare Ltd. Mirpur Branch
Dhaka,Dhaka,Mirpur,Global Specialized Hospital
Dhaka,Dhaka,Mirpur,Greenview Diagnostic Center & Doctors Point
Dhaka,Dhaka,Mirpur,"IBN SINA DIAGNOSTIC & CONSULTATION CENTER,MIRPUR-2"
Dhaka,Dhaka,Mirpur,Ibn Sina Medical College Hospital
Dhaka,Dhaka,Mirpur,"Ibrahim General Hospital, Mirpur."
Dhaka,Dhaka,Mirpur,Jashim Medical & Diagnostic Ltd.
Dhaka,Dhaka,Mirpur,KDR Laboratory
Dhaka,Dhaka,Mirpur,"khandker mahbub hossain eye hospital,dhaka,diagnostic center"
Dhaka,Dhaka,Mirpur,Kidney Foundation
Dhaka,Dhaka,Mirpur,LAB PLUS DIAGNOSTIC & CONSULTANCY
Dhaka,Dhaka,Mirpur,"Labaid Ltd (Diagnostic), Mirpur"
Dhaka,Dhaka,Mirpur,Lamha-Laiba Clinic & Diagnostic Ltd.
Dhaka,Dhaka,Mirpur,Latifa General Hospital & Diagnostic Center
Dhaka,Dhaka,Mirpur,Life Aid Specialized Hospital Ltd
Dhaka,Dhaka,Mirpur,LIFE TRUST DIAGNOSTIC LTD.
Dhaka,Dhaka,Mirpur,Mahtab Medical Center
Dhaka,Dhaka,Mirpur,Marie Stopes Premimum Maternity Clinic
Dhaka,Dhaka,Mirpur,Max Dhaka Digital Lab
Dhaka,Dhaka,Mirpur,Medi Home Hospital
Dhaka,Dhaka,Mirpur,MEDINET MEDICAL SERVICES
Dhaka,Dhaka,Mirpur,MEDINET MEDICAL SERVICES (Main Branch)
Dhaka,Dhaka,Mirpur,MEDINET MEDICAL SERVICES (RUPNAGAR BRANCH)
Dhaka,Dhaka,Mirpur,Medinova Medical Services Ltd. (Mirpur Branch)
Dhaka,Dhaka,Mirpur,Medison Diagnostic Center
Dhaka,Dhaka,Mirpur,MIRPUR GENERAL HOSPITAL & DIAGNOSTIC CENTRE (Rupnagar Branch)
Dhaka,Dhaka,Mirpur,Mirpur Health Care
Dhaka,Dhaka,Mirpur,Mirpur Holy Crescent Hospital (Pvt) Ltd.
Dhaka,Dhaka,Mirpur,MITOSIS LAB LTD
Dhaka,Dhaka,Mirpur,National Heart Foundation Hospital and Research Institute
Dhaka,Dhaka,Mirpur,NEW AL RASHID DIAGNOSTIC COMPLEX
Dhaka,Dhaka,Mirpur,New Mirpur Health Care
Dhaka,Dhaka,Mirpur,NEW PEACY LAB LTD.
Dhaka,Dhaka,Mirpur,NOBLE CARE HOSPITAL & DIAGNOSTIC LIMITED.
Dhaka,Dhaka,Mirpur,OGSB Hospital and Institute of Reproductive and Child Health
Dhaka,Dhaka,Mirpur,OPGEN HEALTH CARE
Dhaka,Dhaka,Mirpur,PADMA PATH LAB
Dhaka,Dhaka,Mirpur,Purelife Health Care
Dhaka,Dhaka,Mirpur,REMEDY DIAGNOSTIC CENTRE & GENERAL HOSPITAL
Dhaka,Dhaka,Mirpur,Riand Bangladesh Diagnostic Center
Dhaka,Dhaka,Mirpur,Rupnagar Central Hospital & Diagnostic Center
Dhaka,Dhaka,Mirpur,SAIC DIGITAL DIAGNOSTIC LAB
Dhaka,Dhaka,Mirpur,SAVE ON HEALTH CARE
Dhaka,Dhaka,Mirpur,Shurakkha General Hospital & Institute Of Medical Science Ltd.
Dhaka,Dhaka,Mirpur,SHWAPNO GENERAL HOSPITAL & DIAGNOSTIC CENTER
Dhaka,Dhaka,Mirpur,SMC Clinic Lab
Dhaka,Dhaka,Mirpur,"SQUARE HOSPITALS LIMITED, DIAGNOSTIC & CONSULTATION CENTER"
Dhaka,Dhaka,Mirpur,SUPER CARE HOSPITAL & TRAUMA CENTER
Dhaka,Dhaka,Mirpur,Surjer Hashi Diagnostic Center. Gabtali
Dhaka,Dhaka,Mirpur,Surjer Hashi Clinic ( Surjer Hashi Network)
Dhaka,Dhaka,Mirpur,"Surjer Hashi Clinic, Ahammed Nagar"
Dhaka,Dhaka,Mirpur,Surjer Hashi Network (SHN)
Dhaka,Dhaka,Mirpur,TAKE CARE HOSPITAL & DIGITAL DIAGNOSTIC CENTER
Dhaka,Dhaka,Mirpur,TMSS Masuda Maternity Hospital
Dhaka,Dhaka,Mirpur,TRIPLE ZERO BANGLADESH LIMITED
Dhaka,Dhaka,Mirpur,Aalok Healthcare and Hospital Ltd.
Dhaka,Dhaka,Mirpur,"Aalok Hospital Ltd., Mirpur"
Dhaka,Dhaka,Mirpur,AAlok Mother & Child Care
Dhaka,Dhaka,Mirpur,AL-SHAFI MODERN HOSPITAL
Dhaka,Dhaka,Mirpur,Aleya Eye Care
Dhaka,Dhaka,Mirpur,Bangladesh Eye Hospital Mirpur Ltd.
Dhaka,Dhaka,Mirpur,BERDO Eye Hospital
Dhaka,Dhaka,Mirpur,Delta Hospital Limited.
Dhaka,Dhaka,Mirpur,Dr. A R Khan Hospital
Dhaka,Dhaka,Mirpur,Dr. Azmal Hospital Ltd.
Dhaka,Dhaka,Mirpur,Global Specialized Hospital
Dhaka,Dhaka,Mirpur,Ibn Sina Medical College Hospital
Dhaka,Dhaka,Mirpur,"Ibrahim General Hospital, Mirpur (IGH-MP)"
Dhaka,Dhaka,Mirpur,Jonoseba Nursing Home
Dhaka,Dhaka,Mirpur,KALLYAN PSYCHIATRIC HOSPITAL
Dhaka,Dhaka,Mirpur,"KHANDKER MAHBUB HOSSAIN EYE HOSPITAL, DHAKA"
Dhaka,Dhaka,Mirpur,Lamha-Laiba Clinic & Diagnostic Ltd.
Dhaka,Dhaka,Mirpur,Latifa General Hospital & Diagnostic Center
Dhaka,Dhaka,Mirpur,Life Aid Specialized Hospital Ltd
Dhaka,Dhaka,Mirpur,Marie Stopes Premimum Maternity Clinic
Dhaka,Dhaka,Mirpur,Medi Home Hospital
Dhaka,Dhaka,Mirpur,Medinet Hospital Ltd.
Dhaka,Dhaka,Mirpur,MIRPUR CHAKKHU HOSPITAL
Dhaka,Dhaka,Mirpur,MIRPUR GENERAL HOSPITAL & DIAGNOSTIC CENTRE (Rupnagar Branch)
Dhaka,Dhaka,Mirpur,Mirpur Holy Crescent Hospital (Pvt) Ltd.
Dhaka,Dhaka,Mirpur,Mirpur Specialised Hospital.
Dhaka,Dhaka,Mirpur,MonNiramoy Psychiatric Hospital
Dhaka,Dhaka,Mirpur,Mustafiz Glaucoma Research and Eye Hospital
Dhaka,Dhaka,Mirpur,National Heart Foundation Hospital and Resrarch Institute
Dhaka,Dhaka,Mirpur,NEW AL RASHID GENERAL HOSPITTAL LTD
Dhaka,Dhaka,Mirpur,NEW MERY HEALTH CLINIC
Dhaka,Dhaka,Mirpur,NOBLE CARE HOSPITAL & DIAGONOSTIC LIMITED
Dhaka,Dhaka,Mirpur,OGSB Hospital and Institute of Reproductive and Child health
Dhaka,Dhaka,Mirpur,Orbit Eye Hospital Ltd.
Dhaka,Dhaka,Mirpur,OSB Eye Hospital .
Dhaka,Dhaka,Mirpur,Rupnagar central hospital and Diagnostic Center
Dhaka,Dhaka,Mirpur,Shurakkha General Hospital & Institute of Medical Science Ltd.
Dhaka,Dhaka,Mirpur,SHWAPNO GENERAL HOSPITAL & DIAGNOSTIC CENTER
Dhaka,Dhaka,Mirpur,SUPER CARE HOSPITAL & TRAUMA CENTER
,,,
Dhaka,Dhaka,Mohammadpur,Doctors Care Hospital & Diagnostic Centre
Dhaka,Dhaka,Mohammadpur,Indira IVF Bangladesh Limited
Dhaka,Dhaka,Mohammadpur,Al-Manar Hospital Ltd.
Dhaka,Dhaka,Mohammadpur,ALLIANCE HOSPITAL LIMITED
Dhaka,Dhaka,Mohammadpur,Bangladesh Critical Care and General Hospital
Dhaka,Dhaka,Mohammadpur,Bangladesh Eye Hospital & Institute
Dhaka,Dhaka,Mohammadpur,City Care General Hospital & Diagnostic Center
Dhaka,Dhaka,Mohammadpur,City Trauma General Hospital
Dhaka,Dhaka,Mohammadpur,DSK Hospital
Dhaka,Dhaka,Mohammadpur,EDEN MULTI CARE HOSPITAL LTD.
Dhaka,Dhaka,Mohammadpur,Evergreen Care Limited
Dhaka,Dhaka,Mohammadpur,High Care Orthopedic & General Hospital
Dhaka,Dhaka,Mohammadpur,Hospital 27Plus
Dhaka,Dhaka,Mohammadpur,ISLAMI EYE HOSPITAL
Dhaka,Dhaka,Mohammadpur,Kidney Awareness Monitoring & Prevention Society (KAMPS)
Dhaka,Dhaka,Mohammadpur,Lalmatia Shishu Hospital
Dhaka,Dhaka,Mohammadpur,LIFE CARE PSYCHIATRY & DE ADDICTION HOSPITAL
Dhaka,Dhaka,Mohammadpur,Medipath Hospital & D-Lab Centre
Dhaka,Dhaka,Mohammadpur,MICARE HEALTH LIMITED
Dhaka,Dhaka,Mohammadpur,Niramoy (Specialized Hospital for Treatment of Mental Health & Drug Dependence)
Dhaka,Dhaka,Mohammadpur,Nobojatok Sishu & Genarel Hospital. Dhaka
Dhaka,Dhaka,Mohammadpur,Orthocare Center & General Hospital
Dhaka,Dhaka,Mohammadpur,UNNOTI-PROSANTI DIAGNOSTIC CENTER & HOSPITAL
Dhaka,Dhaka,Mohammadpur,ACCURATE LIFE CARE BANGLADESH LTD.
Dhaka,Dhaka,Mohammadpur,ADHUNIK DIAGNOSTIC & CONSULTATION CENTER
Dhaka,Dhaka,Mohammadpur,Al-Karim Friends Ltd.
Dhaka,Dhaka,Mohammadpur,Al-Manar Diagnostic Center
Dhaka,Dhaka,Mohammadpur,Biolab Diagnostics
Dhaka,Dhaka,Mohammadpur,Child Health Research Foundation
Dhaka,Dhaka,Mohammadpur,CRITICAL DIAGNOSTIC CENTRE
Dhaka,Dhaka,Mohammadpur,DSK Diagnostic Centre
Dhaka,Dhaka,Mohammadpur,GENTECH LAB LIMITED
Dhaka,Dhaka,Mohammadpur,Healing Diagnostic & Consultation Centre
Dhaka,Dhaka,Mohammadpur,Health Center Dhaka
Dhaka,Dhaka,Mohammadpur,Healthcare Diagnostic Center Ltd.
Dhaka,Dhaka,Mohammadpur,Hridoy Hospital Ltd.
Dhaka,Dhaka,Mohammadpur,Ibn Sina D.Lab & Consultation Center
Dhaka,Dhaka,Mohammadpur,Ingenious Health Care Ltd
Dhaka,Dhaka,Mohammadpur,Ingenious Healthcare Ltd
Dhaka,Dhaka,Mohammadpur,Maxaid Diagnostic
Dhaka,Dhaka,Mohammadpur,Medinova Medical Services Ltd. (Dhanmondi Head Office & Central Laboratory)
Dhaka,Dhaka,Mohammadpur,Medison Medical Services Limited.
Dhaka,Dhaka,Mohammadpur,National Diagnostic Center
Dhaka,Dhaka,Mohammadpur,New Apollo Diagnostic & Consultation Center
Dhaka,Dhaka,Mohammadpur,NHN Mohammadpur Healthcare Centre
Dhaka,Dhaka,Mohammadpur,Oitijjo Diagnostic Center
Dhaka,Dhaka,Mohammadpur,Pulse Point Healthcare Limited
Dhaka,Dhaka,Mohammadpur,TG (TRUST GENUINE) MULTI SPECIALIST HOSPITAL & DIAGNOSTIC CENTRE
Dhaka,Dhaka,Mohammadpur,UNIMED MEDICAL CENTER
Dhaka,Dhaka,Mohammadpur,VITA HEALTH MEDICAL CENTER
Dhaka,Dhaka,Mohammadpur,Zenit Medical Services
Dhaka,Dhaka,Mohammadpur,Egos Health Care & Diagnosis
Dhaka,Dhaka,Mohammadpur,LIFE OK DIAGNOSTIC & DOCTORS CHAMBER
Dhaka,Dhaka,Mohammadpur,Shomsher Health and Shomsher Heart Care
Dhaka,Dhaka,Mohammadpur,The Hormone Lab & Infertility Centre
Dhaka,Dhaka,Mohammadpur,ADVANCED DIGITAL DIAGNOSTIC CENTRE
Dhaka,Dhaka,Mohammadpur,Agrani Diagnostic & Physiotherapy Centre
Dhaka,Dhaka,Mohammadpur,AL NOOR EYE PATHOLOGY
Dhaka,Dhaka,Mohammadpur,Bangladesh Specialized Hospital Ltd. (BSHL)
Dhaka,Dhaka,Mohammadpur,Basila Maa-O-Shishu Diagnostic Center
Dhaka,Dhaka,Mohammadpur,City Health Services Limited
Dhaka,Dhaka,Mohammadpur,College Gate Diagnostic Centre
Dhaka,Dhaka,Mohammadpur,Dhaka Central Diagnostic & Imaging Center
Dhaka,Dhaka,Mohammadpur,DHAKA LAB
Dhaka,Dhaka,Mohammadpur,DHAKA MEDICAL SERVICES
Dhaka,Dhaka,Mohammadpur,Doctors Point
Dhaka,Dhaka,Mohammadpur,Dristi Chokkhu Hospital
Dhaka,Dhaka,Mohammadpur,Elit Clinic
Dhaka,Dhaka,Mohammadpur,F. A. Memorial Pathology Lab
Dhaka,Dhaka,Mohammadpur,Fair Lab Limited
Dhaka,Dhaka,Mohammadpur,Good Health Diagnostic Centre
Dhaka,Dhaka,Mohammadpur,Green Diagnostic & Medical Services
Dhaka,Dhaka,Mohammadpur,Ibad Medical Lab
Dhaka,Dhaka,Mohammadpur,Ibn Sina Diagnostic & Imaging Center
Dhaka,Dhaka,Mohammadpur,Ibn Sina Medical Imaging Center
Dhaka,Dhaka,Mohammadpur,Infertility Care & Research Centre (ICRC) Ltd.
Dhaka,Dhaka,Mohammadpur,INTERLAB MEDICAL CENTRE
Dhaka,Dhaka,Mohammadpur,Islam Diagnostic Lab
Dhaka,Dhaka,Mohammadpur,Islam Medical Center
Dhaka,Dhaka,Mohammadpur,JANASHEBA NURSING HOME AND DIAGNOSTIC CENTER
Dhaka,Dhaka,Mohammadpur,Justice Amin Ahmed Trust
Dhaka,Dhaka,Mohammadpur,Labtec Diagnostic Services
Dhaka,Dhaka,Mohammadpur,Laser Aesthetics (PVT) Ltd.
Dhaka,Dhaka,Mohammadpur,MALIHA Diagnostic Center
Dhaka,Dhaka,Mohammadpur,Medical Zone
Dhaka,Dhaka,Mohammadpur,MOON DIAGNOSTIC CENTER
Dhaka,Dhaka,Mohammadpur,NABAB SHERAZ UD DULLAH MENTAL HOSPITAL
Dhaka,Dhaka,Mohammadpur,National Diagnostic Complex
Dhaka,Dhaka,Mohammadpur,Neer Diagnostic Center
Dhaka,Dhaka,Mohammadpur,New Medicom Medical Services
Dhaka,Dhaka,Mohammadpur,Remedy Care Limited
Dhaka,Dhaka,Mohammadpur,Safe Diagnostic center
Dhaka,Dhaka,Mohammadpur,Sebika General Hospital & Diagnostic Center
Dhaka,Dhaka,Mohammadpur,Shondhi Diagnostic Center
Dhaka,Dhaka,Mohammadpur,Sigma Medical Services
Dhaka,Dhaka,Mohammadpur,SMC Niltara Lab
Dhaka,Dhaka,Mohammadpur,Spreeha Diagnostic Center
Dhaka,Dhaka,Mohammadpur,Thyroid Care And Diagnostic Centre
Dhaka,Dhaka,Mohammadpur,Trust Care Medical Centre
Dhaka,Dhaka,Mohammadpur,VITAL DIAGNOSTIC CENTRE
Dhaka,Dhaka,Mohammadpur,SAFE HOUSE MENTAL & DRUG ADDICTION HOSPITAL
Dhaka,Dhaka,Mohammadpur,AGRANI SECIALISED PHYSIOTHERAPHY CENTER
Dhaka,Dhaka,Mohammadpur,Amana Dialysis Centre Limited
Dhaka,Dhaka,Mohammadpur,Amar Bangladesh Hospital
Dhaka,Dhaka,Mohammadpur,APON THIKANA MEDICAL CENTRE
Dhaka,Dhaka,Mohammadpur,AR-RAFIU GENERAL HOSPITAL
Dhaka,Dhaka,Mohammadpur,Basila Maa-O-shishu Hospital
Dhaka,Dhaka,Mohammadpur,CRESCENT HOSPITAL & DIAGNOSTIC COMPLEX LTD.
Dhaka,Dhaka,Mohammadpur,Dhaka General & Orthopedic Hospital
Dhaka,Dhaka,Mohammadpur,JAMUNA GENERAL HOSPITAL
Dhaka,Dhaka,Mohammadpur,JOYEETA NEER MEDICAL CENTER (DRUG ADDICTION & PSYCHIATIC HOSPITAL)
Dhaka,Dhaka,Mohammadpur,Life Care General Hospital
Dhaka,Dhaka,Mohammadpur,Macca Madina General Hospital
Dhaka,Dhaka,Mohammadpur,Monon Psychiatric Hospital (PVT)Ltd
Dhaka,Dhaka,Mohammadpur,National Health Care General Hospital
Dhaka,Dhaka,Mohammadpur,Noorjahan Orthopaedic and General Hospital
Dhaka,Dhaka,Mohammadpur,SHEFA GENERAL HOSPITAL & DIAGNOSTIC CENTER
Dhaka,Dhaka,Mohammadpur,SHYAMOLI BABY CARE & GENERAL HOSPITAL
Dhaka,Dhaka,Mohammadpur,THIKANA PSYCHIATRIC AND DRUG ADDICTION
Dhaka,Dhaka,Mohammadpur,Vision Eye Hospital Private Limited
,,,
Dhaka,Dhaka,Motijheel,Islami Bank Hospital Motijheel
Dhaka,Dhaka,Motijheel,PANPACIFIC HOSPITAL TRAINING & RESEARCH INSTITUTE LTD.
Dhaka,Dhaka,Motijheel,The Barakah General Hospital Ltd.
Dhaka,Dhaka,Motijheel,A.F. MEDICAL CENTRE
Dhaka,Dhaka,Motijheel,M RAHMAN MEDICAL & DIAGONISTIC CENTER
Dhaka,Dhaka,Motijheel,UNIPATH DIAGNOSTIC CENTRE
Dhaka,Dhaka,Motijheel,ADHUNIK DIAGNOSTIC & MEDICAL CENTRE LTD
Dhaka,Dhaka,Motijheel,Al Ghofily Medical centre
Dhaka,Dhaka,Motijheel,Al Hamad Medical Center Ltd
Dhaka,Dhaka,Motijheel,American Diagnostic Center Fakirapul
Dhaka,Dhaka,Motijheel,ASIA DIAGNOSTIC & MEDICAL CENTRE LTD.
Dhaka,Dhaka,Motijheel,AUSAF BANGLADESH
Dhaka,Dhaka,Motijheel,Bengazi Diagnostic & Madical Centre
Dhaka,Dhaka,Motijheel,BEST-DIAGNOSTIC & MEDICAL LIMITED
Dhaka,Dhaka,Motijheel,CARE WAVE
Dhaka,Dhaka,Motijheel,HASAN MEDICAL SERVICE LTD.
Dhaka,Dhaka,Motijheel,HUMAN DIAGNOSTIC & MEDICAL CENTRE LTD.
Dhaka,Dhaka,Motijheel,"Islami Bank Hospital Motijheel, Bhabon-4"
Dhaka,Dhaka,Motijheel,Karama Medical Centre
Dhaka,Dhaka,Motijheel,Lab-19
Dhaka,Dhaka,Motijheel,Majumder Health Care
Dhaka,Dhaka,Motijheel,Marhaba Medical Ltd.
Dhaka,Dhaka,Motijheel,Medifly Health Services
Dhaka,Dhaka,Motijheel,Medify Health Service
Dhaka,Dhaka,Motijheel,MEDINET MEDICAL SERVICES PVT. LIMITED
Dhaka,Dhaka,Motijheel,MODERN DIAGNOSTIC CENTRE LTD. (Fokirapool Branch)
Dhaka,Dhaka,Motijheel,Padma Diagnostic Centre Ltd.
Dhaka,Dhaka,Motijheel,Popular Diagnostic Centre (Santinagar Branch)
Dhaka,Dhaka,Motijheel,Popular Diagnostic Centre Ltd. (Shantinogor-Unit-2)
Dhaka,Dhaka,Motijheel,PRIME DIAGNOSTIC LIMITED
Dhaka,Dhaka,Motijheel,Ramin Health Center
Dhaka,Dhaka,Motijheel,SHOHAG DIAGNOSTIC &MEDICAL CENTRE
Dhaka,Dhaka,Motijheel,SILMUN DIAGNOSTIC CENTRE
Dhaka,Dhaka,Motijheel,Wadi Health Checkup
,,,
Dhaka,Dhaka,Mugda Para,JamJam Diagnostic Center
Dhaka,Dhaka,Mugda Para,Al-Falah Hospital
Dhaka,Dhaka,Mugda Para,AS-SHIFA DIAGNOSTIC CENTRE
Dhaka,Dhaka,Mugda Para,Bangladesh Specialized ENT & Hearing Centre
Dhaka,Dhaka,Mugda Para,FRIENDS CARE HOSPITAL LIMITED
Dhaka,Dhaka,Mugda Para,"Islami Bank Hospital, Mugda"
Dhaka,Dhaka,Mugda Para,LID and consultation
Dhaka,Dhaka,Mugda Para,Medicus Diagnostic And Consultation Center
Dhaka,Dhaka,Mugda Para,MUGDA DIAGNOSTIC & IMAGING CENTER
Dhaka,Dhaka,Mugda Para,New Al Aksa Diagnostic Center & Blood Bank
Dhaka,Dhaka,Mugda Para,Primet Diagnostic Centre (PVT) Ltd
Dhaka,Dhaka,Mugda Para,Seba Diagnostic Center.
Dhaka,Dhaka,Mugda Para,Sun Diagnostic Mugda
Dhaka,Dhaka,Mugda Para,Suraiya Hospital&Diagnostic Centre
Dhaka,Dhaka,Mugda Para,Al Falah General Hospital.
Dhaka,Dhaka,Mugda Para,MOTHER’S AND INFANT HEALTH CARE CLINIC
Dhaka,Dhaka,Mugda Para,Safeway Eye & Dental Hospital
Dhaka,Dhaka,Mugda Para,SURAIYA HOSPITAL & DIAGNOSTIC CENTRE
,,,
Dhaka,Dhaka,Nawabganj,Asha Clinic & Diagnostic Center
Dhaka,Dhaka,Nawabganj,Bandura Eye Hospital
Dhaka,Dhaka,Nawabganj,Bandura Modern Clinic & Diagnostic Center
Dhaka,Dhaka,Nawabganj,Bondhon diagnostic center
Dhaka,Dhaka,Nawabganj,DEWAN CLINIC & DIAGNOSTIC COMPLEX
Dhaka,Dhaka,Nawabganj,Ever Green Hospital & Diagnostic Center
Dhaka,Dhaka,Nawabganj,HELAL GENERAL HOSPITAL
Dhaka,Dhaka,Nawabganj,HOLY CARE HOSPITAL & DIAGNOSTIC CENTRE
Dhaka,Dhaka,Nawabganj,Intaz Chakkhu Hospital
Dhaka,Dhaka,Nawabganj,MODERN LIFE HOSPITAL (PVT) LTD
Dhaka,Dhaka,Nawabganj,MUKTI CLINIC
Dhaka,Dhaka,Nawabganj,MUKTI CLINIC - 1
Dhaka,Dhaka,Nawabganj,MUKTI CLINIC - 2
Dhaka,Dhaka,Nawabganj,Mukti General Hospital
Dhaka,Dhaka,Nawabganj,Nawabgonj Clinic $ Digital Diagonostic Centre
Dhaka,Dhaka,Nawabganj,Nawabgonj Eye Hospital limited
Dhaka,Dhaka,Nawabganj,New Central Hospital
Dhaka,Dhaka,Nawabganj,NEW LIFE MEDICAL SERVICES
Dhaka,Dhaka,Nawabganj,noor clinic and diagnostic center
Dhaka,Dhaka,Nawabganj,PARAGON HOSPITAL AND TRAUMA CARE LTD.
Dhaka,Dhaka,Nawabganj,PARAGON DIAGNOSTIC CENTRE
Dhaka,Dhaka,Nawabganj,Shetu clinic & diagnostic complex
Dhaka,Dhaka,Nawabganj,shetu clinic & diagnostic comples
Dhaka,Dhaka,Nawabganj,Siam Eye Hospital
Dhaka,Dhaka,Nawabganj,Sushama chokkhu hospital & diagnostic center
Dhaka,Dhaka,Nawabganj,Al-Falah Hospital
Dhaka,Dhaka,Nawabganj,Ever Green Hospital & Diagnostic Center
Dhaka,Dhaka,Nawabganj,Grameen Kalyan Shikaripara Health Center
Dhaka,Dhaka,Nawabganj,Grameen Kalyan Sholla Bazar Health Center
Dhaka,Dhaka,Nawabganj,Mother & child diagnostic center
Dhaka,Dhaka,Nawabganj,New Life Medical Services
Dhaka,Dhaka,Nawabganj,Pain & Palliative Care Center & Diagnostic
,,,
Dhaka,Dhaka,New Market,Anowara Medical Services
Dhaka,Dhaka,New Market,BD Surgical Pathology and Molecular Lab
Dhaka,Dhaka,New Market,Central Hospital Limited
Dhaka,Dhaka,New Market,Dr A G Khan Diagnostic center
Dhaka,Dhaka,New Market,Gonoshasthaya Laboratory and Diagnostic Center
Dhaka,Dhaka,New Market,Homecare Hospital
Dhaka,Dhaka,New Market,Kalyani Diagnostic Centre
Dhaka,Dhaka,New Market,Lab Online Diagnostic Centre
Dhaka,Dhaka,New Market,LASER MEDICAL CENTER LTD. - DHANMONDI
Dhaka,Dhaka,New Market,Popular Diagnostic Centre Ltd.
Dhaka,Dhaka,New Market,Reliable Diagnostic Center
Dhaka,Dhaka,New Market,Renaissance hospital & research institute Ltd
Dhaka,Dhaka,New Market,Zainul Haque Sikder Womens Medical College & Hospital
